,Name,span_name,align_name,bridge_name,Station,Type,Angle,LeftWidth,RightWidth,SpaceList,PierAngleList,FundAngleList,H0,H1,SlopLeft,SlopRight,SlopReal,bridge,cap,ramp,BridgeLeft,BridgeRight,pier,pier_h,block_type,block_length,block_weight,cap_length,bridge_length,P1,P2,P3,span1,span2
13,SEC1/EBI01/P14,EBA+00606.000,EBA,EBI01,606.0,F2,90.0,12.0,18.4,"-5.6,22,0,0","0,0,0,0","-24.014,-24.014,0,0",1646.51496550681,1632.9143,-0.459232501407391,-0.459232501407391,-0.5,"[-5.0, 5.0]","[-12.0, 18.4]",[0],5.0,5.0,[-10.6  17. ],13.600665506810174,"['CB17', 'CB18', 'CB17']","[9.149999999999999, 11.5, 9.149999999999999]","[110.74649999999998, 132.82500000000002, 110.74649999999998]",30.4,10.0,-10.6,17.0,0.0,27.6,0.0
16,SEC1/JKI01/P01,JKA+00524.420,JKA,JKI01,524.42,F2,90.0,8.4,8.4,"-2.5,11.5,0,0","0,0,0,0","0,0,0,0",1642.46580110986,1634.257072,2.5,2.5,2.5,"[-4.5, 4.5]","[-8.4, 8.4]",[0],4.5,4.5,[-7.  7.],8.20872910985986,"['CB17', 'CB17']","[8.25, 8.25]","[100.35150000000002, 100.35150000000002]",16.8,9.0,-7.0,7.0,0.0,14.0,0.0
20,SEC1/ML02/P02,M1K+07597.000,M1K,SEC102,7597.0,F2,90.0,17.446737655269,10.449903528968,"1.75,26.8467,0,0","0,0,0,0","0,0,0,0",1643.9721704885,1634.45735,3.0,3.0,3.0,"[-17.796737655269, 10.799903528968]","[-17.446737655269, 10.449903528968]",[0],17.796737655269,10.799903528968,[-16.0467   9.05  ],9.514820488500163,"['CB17', 'CB18', 'CB17']","[7.898320592118499, 11.5, 7.898320592118499]","[96.28960283896866, 132.82500000000002, 96.28960283896866]",27.896641184236998,28.596641184237,-16.0467,9.05,0.0,25.096700000000002,0.0
38,SEC1/SBI05/P13,SBE+00723.850,SBE,SBI05,723.85,F2,90.0,12.4,16.4,"-6,20,0,0","0,0,0,0","-17.3165,-17.3165,0,0",1658.38750204085,1648.3667875,-2.5,-2.5,0.0,"[-5.0, 5.0]","[-12.4, 16.4]",[0],5.0,5.0,[-11.  15.],10.020714540849895,"['CB17', 'CB18', 'CB17']","[8.349999999999998, 11.5, 8.349999999999998]","[101.50649999999999, 132.82500000000002, 101.50649999999999]",28.799999999999997,10.0,-11.0,15.0,0.0,26.0,0.0
50,SEC2/CCI03/P02,CCC+00452.000,CCC,CCI03,452.0,F2,90.0,4.65,12.1,"1.75,15.7,0,0","0,0,0,0","0,0,0,0",1665.37771901108,1657.416,2.5,2.5,2.5,"[-5.001168547064, 4.998817003504]","[-4.65, 12.1]",[0],5.001168547064,4.998817003504,[-3.2512 10.6988],7.961719011080049,"['CB17', 'CB17']","[8.225, 8.225]","[100.06275000000002, 100.06275000000002]",16.75,9.999985550567999,-3.2512,10.6988,0.0,13.95,0.0
51,SEC2/CCI03/P03,CCC+00482.000,CCC,CCI03,482.0,F2,90.0,6.4,8.3,"0,11.9,0,0","0,0,0,0","0,0,0,0",1666.77209472005,1657.4243,2.5,2.5,2.5,"[-5.000000230392, 4.999999768914]","[-6.4, 8.3]",[0],5.000000230392,4.999999768914,[-5.   6.9],9.34779472005016,"['CB17', 'CB17']","[7.2, 7.2]","[88.224, 88.224]",14.700000000000001,9.999999999305999,-5.0,6.9,0.0,11.9,0.0
52,SEC2/CCI03/P04,CCC+00512.000,CCC,CCI03,512.0,F2,90.0,15.4,4.65,"-9,8.25,0,0","0,0,0,0","0,0,0,0",1668.0233597461,1657.9874,2.5,2.5,2.5,"[-5.00000023049, 4.999999771979]","[-15.4, 4.65]",[0],5.00000023049,4.999999771979,[-14.     3.25],10.035959746099934,"['CB17', 'CB17']","[9.875, 9.875]","[119.12025, 119.12025]",20.05,10.000000002469001,-14.0,3.25,0.0,17.25,0.0
108,SEC2/ML02/P05,M1K+16280.000,M1K,SEC202,16280.0,FC2,90.0,20.4676206162837,10.450000422348,"-5.45788544789875,10.609735590733,16.609735590733,0","0,0,0,0","0,0,0,0",1666.14534734502,1653.277,2.5,-2.5,0.3,"[-13.609735168385, 10.800000422348]","[-20.4676206162837, 10.450000422348]",[0],13.609735168385,10.800000422348,[-19.0676  -3.       3.    ],12.868347345019856,"['CB15', 'CB14', 'CB06']","[8.4, 10.217621038631702, 11.7]","[91.759, 101.5018493609852, 123.904]",30.9176210386317,24.409735590733,-19.0676,-3.0,3.0,16.0676,6.0
109,SEC2/ML02/P06,M1K+16310.000,M1K,SEC202,16310.0,FC2,90.0,21.0397679261859,10.450000420889,"-4.83843284032188,11.801335506753,17.801335506753,0","0,0,0,0","0,0,0,0",1666.55900079761,1654.059,2.5,-2.5,0.4,"[-14.801335085864, 10.800000420889]","[-21.0397679261859, 10.450000420889]",[0],14.801335085864,10.800000420889,[-19.6398  -3.       3.    ],12.500000797610028,"['CB15', 'CB14', 'CB06']","[8.4, 10.7897683470749, 11.7]","[91.759, 106.10763519395294, 123.904]",31.4897683470749,25.601335506753003,-19.6398,-3.0,3.0,16.6398,6.0
110,SEC2/ML02/P07,M1K+16340.000,M1K,SEC202,16340.0,FC2,90.0,24.0562891079769,10.450000420595,"-7.59037012676592,12.065919401806,18.065919401806,0","0,0,0,0","0,0,0,0",1666.93732673856,1654.625,2.5,-2.5,0.5,"[-15.065918981211, 10.800000420595]","[-24.0562891079769, 10.450000420595]",[0],15.065918981211,10.800000420595,[-22.6563  -3.       3.    ],12.312326738559932,"['CB15', 'CB16', 'CB14', 'CB06']","[8.4, 5.056289528571899, 8.45, 11.7]","[91.759, 40.703130705003794, 87.27250000000001, 123.904]",34.5062895285719,25.865919401806,-22.6563,-3.0,3.0,19.6563,6.0
